name,team,year,position,measurements,weight,mock_draft,big_board,age_at_draft,birthdate,nation,hometown,high_school,espn_100,strengths,weaknesses,max_vert,lane_agil,shuttle,3_4sprint,reach,wingspan,games,minutes_per_game,fgm_fga,fg_pct,3pm_3pa,3p_pct,ftm_fta,ft_pct,rebounds_pg,assists_pg,blocks_pg,steals_pg,turnovers_pg,personal_fouls_pg,points_pg,games_per36,minutes_per36,fgm_fga_per36,fg_pct_per36,3pm_3pa_per36,3p_pct_per36,ftm_fta_per36,ft_pct_per36,rebounds_per36,assists_per36,blocks_per36,steals_per36,turnovers_per36,personal_fouls_per36,points_per36,ts_per,efg_per,3pa_rate,fta_rate,nba_3p_per,usg_per,ast_per_usg,ast_per_to,per,ows_per_40,dws_per_40,ws_per_40,ortg,drtg,obpm,dbpm,bpm
Cooper Flagg,Duke,Freshman,SF/PF,"6'9""(7'0"" wingspan)",221 lbs,1st|DAL,1st,18.50 yrs,"Dec 21, 2006",USA,"Newport, ME",Montverde AcademyMontverde Academy,#1 |2024,"BPM (4 pluses), Win Shares (4 pluses), Def. BPM (4 pluses), Def. Win Shares (4 pluses), PER (4 pluses), Draft Age (4 pluses), Assists (3 pluses), Off. BPM (3 pluses), Off. Win Shares (3 pluses), AST/TO (3 pluses), Points (3 pluses), Def. Rating (2 pluses), Blocks (2 pluses), Off. Rating (2 pluses), Def. Rebounds (2 pluses), AST%/Usage (2 pluses), FT% (2 pluses), Steals (1 pluses), Rebounds (1 pluses), FTA Rate (1 pluses), Proj NBA 3P% (1 pluses)",,"35.5""",10.64,2.92,3.3,"8'10.5""","7'0""",37,30.7,6.5-13.4,0.481,1.4-3.6,0.385,4.8-5.8,0.84,7.5,4.2,1.4,1.4,2.1,1.9,19.2,37,36.0,7.6-15.8,0.481,1.6-4.3,0.385,5.7-6.8,0.84,8.8,4.9,1.6,1.6,2.5,2.2,22.5,0.593,0.533,0.272,0.429,0.367,30.9,0.87,2.0,30.4,0.18,0.116,0.296,126.3,89.5,9.7,6.7,16.3
Dylan Harper,Rutgers,Freshman,PG/SG,"6'5.75""(6'10.5"" wingspan)",213 lbs,2nd|SA,2nd,19.30 yrs,"Mar 2, 2006",USA,"Franklin Lakes, NJ",Don Bosco PrepDon Bosco Prep,#4 |2024,"2P% (3 pluses), Draft Age (3 pluses), Blocks (2 pluses), FG% (1 pluses), Points (1 pluses), EFG% (1 pluses), Wingspan Ratio (1 pluses), Off. BPM (1 pluses), Def. Rebounds (1 pluses)","Def. Rating (3 minuses), Def. Win Shares (2 minuses), 3P% (1 minuses), AST%/Usage (1 minuses), Assists (1 minuses), Win Shares (1 minuses), FT% (1 minuses)","36.5""",11.07,3.05,3.16,"8'6""","6'10.5""",29,32.6,6.7-13.8,0.484,1.7-5.2,0.333,4.3-5.8,0.75,4.6,4.0,0.6,1.4,2.4,1.9,19.4,29,36.0,7.4-15.3,0.484,1.9-5.7,0.333,4.8-6.4,0.75,5.1,4.5,0.6,1.6,2.7,2.1,21.5,0.587,0.546,0.374,0.419,0.357,29.0,0.93,1.67,24.6,0.127,0.038,0.165,118.1,110.1,7.0,2.1,9.2
V.J. Edgecombe,Baylor,Freshman,SG,"6'5.25""(6'7.5"" wingspan)",193 lbs,3rd|PHI,3rd,19.89 yrs,"Jul 30, 2005",Bahamas,"Bimini, Bahamas",Long Island LutheranLong Island Lutheran,#3 |2024,"Steals (3 pluses), Off. Rebounds (3 pluses), Def. BPM (2 pluses), BPM (2 pluses), Off. BPM (1 pluses), AST/TO (1 pluses), Assists (1 pluses), AST%/Usage (1 pluses), Blocks (1 pluses), Off. Rating (1 pluses), Draft Age (1 pluses)","Fouls (1 minuses), Def. Rating (1 minuses), 3P% (1 minuses), Wingspan Ratio (1 minuses), EFG% (1 minuses)","38.5""",11.27,2.93,3.2,"8'5.5""","6'7.5""",33,32.7,5.0-11.5,0.436,1.6-4.6,0.34,3.4-4.3,0.782,5.6,3.2,0.6,2.1,1.9,2.5,15.0,33,36.0,5.5-12.7,0.436,1.7-5.1,0.34,3.7-4.7,0.782,6.2,3.5,0.7,2.3,2.1,2.8,16.5,0.552,0.504,0.402,0.373,0.359,24.1,0.8,1.66,22.1,0.111,0.067,0.178,119.1,102.5,7.1,4.3,11.4
Ace Bailey,Rutgers,Freshman,SF,"6'8.75""(7'0.5"" wingspan)",203 lbs,5th|UTA,4th,18.85 yrs,"Aug 13, 2006",USA,"Chattanooga, TN",McEachern High SchoolMcEachern HS,#2 |2024,"Draft Age (4 pluses), Blocks (2 pluses), Off. Rebounds (1 pluses), Points (1 pluses)","Def. Rating (4 minuses), Win Shares (2 minuses), Def. Win Shares (2 minuses), Def. BPM (2 minuses), BPM (2 minuses), AST%/Usage (2 minuses), AST/TO (2 minuses), Assists (2 minuses), FTA Rate (2 minuses), Off. Win Shares (1 minuses), FT% (1 minuses), TS% (1 minuses), Off. Rating (1 minuses), Fouls (1 minuses), Off. BPM (1 minuses)","34.5""",10.97,2.78,3.12,"8'11""","7'0.5""",30,33.3,6.8-14.7,0.46,1.6-4.5,0.346,2.5-3.6,0.692,7.2,1.3,1.3,1.0,2.0,2.8,17.6,30,36.0,7.3-15.9,0.46,1.7-4.9,0.346,2.7-3.9,0.692,7.7,1.4,1.4,1.1,2.2,3.0,19.0,0.536,0.514,0.308,0.243,0.346,27.5,0.3,0.62,19.9,0.068,0.044,0.112,108.2,109.1,3.7,0.8,4.5
Kon Knueppel,Duke,Freshman,SG/SF,"6'6.25""(6'6.25"" wingspan)",219 lbs,4th|CHA,5th,19.88 yrs,"Aug 3, 2005",USA,"Milwaukee, WI",Wisconsin LutheranWisconsin Lutheran,#18 |2024,"Off. Rating (4 pluses), FT% (3 pluses), TS% (3 pluses), AST/TO (2 pluses), Win Shares (2 pluses), Proj NBA 3P% (2 pluses), 2P% (2 pluses), EFG% (2 pluses), Off. Win Shares (2 pluses), Turnovers (2 pluses), Def. BPM (1 pluses), BPM (1 pluses), Def. Win Shares (1 pluses), Off. BPM (1 pluses), FG% (1 pluses), 3P% (1 pluses), Draft Age (1 pluses)","Wingspan Ratio (3 minuses), Blocks (2 minuses), Def. Rebounds (1 minuses)",,,,,"8'5.5""","6'6.25""",39,30.5,4.6-9.7,0.479,2.2-5.3,0.406,3.0-3.3,0.914,4.0,2.7,0.2,1.0,1.4,2.1,14.4,39,36.0,5.5-11.4,0.479,2.5-6.3,0.406,3.5-3.9,0.914,4.7,3.2,0.2,1.2,1.6,2.5,17.0,0.642,0.59,0.548,0.339,0.392,21.4,0.73,2.02,21.3,0.151,0.081,0.232,133.7,98.8,6.9,3.9,10.8
Khaman Maluach,Duke,Freshman,C,"7'2""(7'6.75"" wingspan)",253 lbs,9th|TOR,6th,18.76 yrs,"Sep 14, 2006",South Sudan,"Kawempe, Uganda",NBA Academy AfricaNBA Academy Africa,,"Off. Rating (4 pluses), TS% (4 pluses), 2P% (4 pluses), EFG% (4 pluses), FG% (4 pluses), Draft Age (4 pluses), Turnovers (3 pluses), Off. Rebounds (2 pluses), Off. Win Shares (2 pluses), Win Shares (2 pluses), FT% (2 pluses), Off. BPM (1 pluses)","Steals (3 minuses), Assists (1 minuses), Points (1 minuses), FTA Rate (1 minuses), AST%/Usage (1 minuses)","30.0""",12.05,3.44,3.5,"9'6""","7'6.75""",39,21.2,3.5-4.9,0.712,0.1-0.4,0.25,1.5-2.0,0.766,6.6,0.5,1.3,0.2,0.8,2.1,8.6,39,36.0,5.9-8.3,0.712,0.2-0.7,0.25,2.6-3.3,0.766,11.2,0.9,2.2,0.3,1.3,3.5,14.6,0.736,0.723,0.084,0.403,0.325,16.1,0.27,0.67,25.5,0.164,0.097,0.261,147.3,94.3,6.2,3.6,9.9
Tre Johnson,Texas,Freshman,SG,"6'6""(6'10.25"" wingspan)",190 lbs,6th|WAS,7th,19.29 yrs,"Mar 7, 2006",USA,"Dallas, TX",Link AcademyLink Academy,#5 |2024,"Draft Age (3 pluses), FT% (2 pluses), Proj NBA 3P% (2 pluses), Points (2 pluses), Off. BPM (1 pluses), Turnovers (1 pluses)","Def. Rating (4 minuses), Off. Rebounds (3 minuses), Rebounds (2 minuses), Def. Win Shares (2 minuses), Def. Rebounds (2 minuses), 2P% (2 minuses), Def. BPM (1 minuses), Steals (1 minuses), FTA Rate (1 minuses), FG% (1 minuses), Win Shares (1 minuses), Blocks (1 minuses)","37.5""",10.49,3.11,3.28,"8'5""","6'10.25""",33,34.7,6.8-15.9,0.427,2.7-6.8,0.397,3.7-4.2,0.871,3.1,2.7,0.3,0.9,1.8,2.1,19.9,33,36.0,7.0-16.5,0.427,2.8-7.0,0.397,3.8-4.4,0.871,3.2,2.8,0.3,1.0,1.9,2.2,20.7,0.557,0.511,0.427,0.265,0.39,29.1,0.57,1.5,19.7,0.105,0.038,0.147,115.1,109.9,6.5,1.2,7.7
Derik Queen,Maryland,Freshman,C,"6'10.5""(7'0.5"" wingspan)",248 lbs,12th|CHI,8th,20.48 yrs,"Dec 27, 2004",USA,"Baltimore, MD",Montverde AcademyMontverde Academy,#8 |2024,"Steals (2 pluses), FT% (2 pluses), Assists (1 pluses), Fouls (1 pluses), Points (1 pluses), Def. Win Shares (1 pluses), Def. Rebounds (1 pluses)","Blocks (2 minuses), EFG% (1 minuses), Off. Rebounds (1 minuses), FG% (1 minuses), Wingspan Ratio (1 minuses), Turnovers (1 minuses), 2P% (1 minuses)","28.0""",12.45,3.27,3.52,"9'1.5""","7'0.5""",36,30.4,5.8-11.1,0.526,0.2-1.0,0.2,4.6-6.1,0.766,9.0,1.9,1.1,1.1,2.4,2.1,16.5,36,36.0,6.9-13.1,0.526,0.2-1.2,0.2,5.5-7.2,0.766,10.6,2.2,1.3,1.3,2.8,2.5,19.6,0.591,0.535,0.088,0.546,0.324,26.6,0.44,0.79,24.7,0.113,0.102,0.216,117.0,92.4,5.1,4.2,9.2
Jeremiah Fears,Oklahoma,Freshman,PG,"6'3.75""(6'5.25"" wingspan)",180 lbs,7th|NO,9th,18.68 yrs,"Oct 14, 2006",USA,"Joliet, IL",AZ Compass PrepAZ Compass Prep,#40 |2024,"Draft Age (4 pluses), FTA Rate (2 pluses), FT% (1 pluses), Steals (1 pluses), Points (1 pluses)","Turnovers (3 minuses), 3P% (3 minuses), Def. Rating (2 minuses), AST/TO (2 minuses), Win Shares (2 minuses), Off. Win Shares (2 minuses), EFG% (1 minuses), Wingspan Ratio (1 minuses), Off. Rating (1 minuses), BPM (1 minuses), Blocks (1 minuses), AST%/Usage (1 minuses), Def. Win Shares (1 minuses), Off. BPM (1 minuses)","36.5""",10.95,3.09,3.05,"8'2.5""","6'5.25""",34,30.2,5.3-12.2,0.434,1.1-3.9,0.284,5.4-6.3,0.851,4.1,4.1,0.1,1.6,3.4,1.9,17.1,34,36.0,6.3-14.5,0.434,1.3-4.7,0.284,6.4-7.5,0.851,4.9,4.9,0.1,2.0,4.1,2.2,20.4,0.562,0.48,0.323,0.518,0.36,31.5,0.91,1.21,20.7,0.082,0.047,0.132,108.2,107.5,4.2,1.7,5.9
Kasparas Jakucionis,Illinois,Freshman,PG/SG,"6'6""(6'7.75"" wingspan)",205 lbs,8th|BKN,10th,19.06 yrs,"May 29, 2006",Lithuania,"Vilnius, Lithuania",,,"Off. Rebounds (3 pluses), Rebounds (3 pluses), Draft Age (3 pluses), 2P% (2 pluses), Def. Rebounds (2 pluses), FTA Rate (1 pluses), FT% (1 pluses), TS% (1 pluses)","Turnovers (3 minuses), Fouls (3 minuses), PER (2 minuses), Steals (2 minuses), AST/TO (2 minuses), Win Shares (2 minuses), 3P% (2 minuses), Off. Win Shares (2 minuses), Def. Rating (1 minuses), Wingspan Ratio (1 minuses), Off. BPM (1 minuses), BPM (1 minuses)","35.0""",10.99,2.82,3.22,"8'3.5""","6'7.75""",33,31.8,4.5-10.3,0.44,1.6-5.2,0.318,4.3-5.1,0.845,5.7,4.7,0.3,0.9,3.7,2.7,15.0,33,36.0,5.1-11.6,0.44,1.8-5.8,0.318,4.9-5.8,0.845,6.4,5.3,0.3,1.0,4.2,3.0,16.9,0.59,0.519,0.501,0.496,0.369,24.2,1.07,1.27,17.4,0.084,0.057,0.141,112.1,105.2,4.0,2.6,6.6
