name,team,year,position,measurements,weight,mock_draft,big_board,age_at_draft,birthdate,nation,hometown,high_school,espn_100,strengths,weaknesses,max_vert,lane_agil,shuttle,3/4sprint,reach,wingspan,games,minutes_per_game,fgm_fga,fg_pct,3pm_3pa,3p_pct,ftm_fta,ft_pct,rebounds_pg,assists_pg,blocks_pg,steals_pg,turnovers_pg,personal_fouls_pg,points_pg,games_per36,minutes_per36,fgm_fga_per36,fg_pct_per36,3pm_3pa_per36,3p_pct_per36,ftm_fta_per36,ft_pct_per36,rebounds_per36,assists_per36,blocks_per36,steals_per36,turnovers_per36,personal_fouls_per36,points_per36,ts_per,efg_per,3pa_rate,fta_rate,nba_3p_per,usg_per,ast_per_usg,ast_per_to,per,ows_per_40,dws_per_40,ws_per_40,ortg,drtg,obpm,dbpm,bpm
Cameron Boozer,Duke,FR,PF,"6'9.5""",253lbs,,,18.92yrs,,,"Westchester, FL",Christopher Columbus HS,ESPN100 #3,,,"35.0""",11.06,2.99,3.31,"9'0""","7'1.5""",38,33.4,7.6-13.7,.556,1.4-3.6,.391,5.8-7.4,.789,10.2,4.1,0.6,1.4,2.5,1.7,22.5,38,36.0,8.2-14.8,.556,1.5-3.9,.391,6.3-7.9,.789,11.0,4.4,0.7,1.5,2.7,1.8,24.2,.653,.607,.264,.536,.358,29.9,0.86,1.64,33.7,.217,.110,.327,135.7,92.8,12.7,6.0,18.7
Darryn Peterson,Kansas,FR,SG/PG,"6'5.75""",199lbs,,,19.42yrs,,,"Canton, OH",Prolific Prep,ESPN100 #2,,,"37.5""",11.17,2.95,3.16,"8'7""","6'9.75""",24,29.0,6.5-14.8,.438,2.6-6.9,.382,4.5-5.5,.826,4.2,1.6,0.6,1.4,1.6,1.5,20.2,24,36.0,8.1-18.4,.438,3.3-8.5,.382,5.6-6.8,.826,5.2,2.0,0.8,1.8,2.0,1.9,25.0,.578,.527,.463,.371,.391,33.5,0.37,1.00,25.4,.115,.080,.201,117.1,100.6,9.3,4.8,14.1
AJ Dybantsa,BYU,FR,SF,"6'9.75""",217lbs,,,19.39yrs,,,"Brockton, MA",Utah Prep,ESPN100 #1,,,"42.0""",11.06,2.99,3.14,"8'10""","7'0.5""",35,34.8,8.8-17.3,.510,1.4-4.2,.331,6.5-8.5,.774,6.8,3.7,0.3,1.1,3.1,1.2,25.5,35,36.0,9.1-17.9,.510,1.4-4.4,.331,6.8-8.8,.774,7.1,3.8,0.4,1.1,3.2,1.3,26.4,.600,.550,.245,.490,.352,33.9,0.65,1.20,28.1,.158,.053,.210,122.1,108.8,9.5,2.2,11.7
Caleb Wilson,North Carolina,FR,SF/PF,"6'10.5""",211lbs,,,19.92yrs,,,"Atlanta, GA",Holy Innocents' Episcopal School,ESPN100 #5,,,"39.5""",11.17,3.11,3.23,"9'0""","7'0.25""",24,31.3,7.1-12.3,.578,0.3-1.1,.259,5.4-7.5,.713,9.4,2.7,1.4,1.5,2.0,1.9,19.8,24,36.0,8.1-14.1,.578,0.3-1.3,.259,6.2-8.7,.713,10.8,3.1,1.6,1.7,2.3,2.2,22.8,.626,.590,.092,.616,.322,28.7,0.63,1.36,31.4,.160,.091,.256,127.7,97.8,8.7,5.3,14.0
Keaton Wagler,Illinois,FR,SG/PG,"6'6.25""",188lbs,,,19.38yrs,,,"Shawnee, KS",Shawnee Mission Northwest,,,,"36.0""",11.05,3.0,3.27,"8'4""","6'6.25""",37,33.9,5.5-12.3,.445,2.4-5.9,.397,4.6-5.8,.796,5.1,4.2,0.4,0.9,1.8,2.0,17.9,37,36.0,5.8-13.0,.445,2.5-6.3,.397,4.9-6.2,.796,5.4,4.5,0.4,1.0,1.9,2.1,19.0,.596,.541,.482,.476,.375,25.2,0.92,2.38,23.9,.175,.057,.229,134.1,107.6,8.8,3.5,12.3
Darius Acuff Jr.,Arkansas,FR,PG,"6'3.25""",186lbs,,,19.59yrs,,,"Detroit, MI",IMG Academy,ESPN100 #7,,,"36.5""",10.99,2.93,3.06,"8'2.5""","6'6.5""",36,35.1,8.0-16.5,.484,2.5-5.8,.440,4.9-6.1,.809,3.1,6.4,0.3,0.8,2.2,1.6,23.5,36,36.0,8.2-16.9,.484,2.6-5.9,.440,5.1-6.3,.809,3.2,6.6,0.3,0.9,2.2,1.7,24.1,.604,.561,.348,.370,.379,29.5,1.09,2.97,25.2,.174,.022,.196,128.8,116.9,9.4,0.7,10.1
Kingston Flemings,Houston,FR,PG,"6'3.75""",183lbs,,,19.46yrs,,,"San Antonio, TX",Brennan HS,ESPN100 #22,,,"40.5""",10.61,2.69,3.07,"8'2.5""","6'3.5""",37,31.7,6.0-12.6,.476,1.1-2.9,.387,2.9-3.5,.845,4.1,5.2,0.3,1.5,1.8,2.0,16.1,37,36.0,6.8-14.3,.476,1.3-3.3,.387,3.3-4.0,.845,4.6,5.9,0.4,1.7,2.0,2.3,18.2,.563,.520,.227,.277,.361,26.0,1.25,2.91,23.6,.130,.096,.225,123.3,96.9,6.6,6.0,12.6
Brayden Burries,Arizona,FR,SG/PG,"6'5""",215lbs,,,20.75yrs,,,"San Bernardino, CA",Eleanor Roosevelt HS,ESPN100 #12,,,"38.5""",10.59,2.92,3.21,"8'2.5""","6'6""",39,29.8,5.4-11.0,.491,1.8-4.6,.391,3.5-4.3,.805,4.9,2.4,0.2,1.5,1.5,2.1,16.1,39,36.0,6.5-13.3,.491,2.2-5.5,.391,4.2-5.2,.805,5.9,2.9,0.2,1.8,1.8,2.5,19.4,.616,.572,.418,.395,.370,23.2,0.61,1.67,21.7,.127,.093,.220,128.5,97.4,6.0,5.7,11.7
Mikel Brown Jr.,Louisville,FR,PG,"6'4.75""",190lbs,,,20.21yrs,,,"Orlando, FL",DME Academy,ESPN100 #8,,,"39.5""",10.57,2.89,3.24,"8'4.5""","6'7.5""",21,29.2,5.3-13.0,.410,2.6-7.6,.344,4.9-5.8,.844,3.3,4.7,0.1,1.2,3.1,1.6,18.2,21,36.0,6.6-16.0,.410,3.2-9.4,.344,6.0-7.2,.844,4.1,5.8,0.2,1.5,3.8,1.9,22.4,.577,.511,.586,.447,.393,31.4,0.96,1.52,20.5,.104,.065,.170,114.7,104.5,4.9,1.7,6.6
Nate Ament,Tennessee,FR,SF,"6'10.75""",211lbs,,,19.53yrs,,,"Manassas, VA",Colgan HS,ESPN100 #4,,,"37.0""",11.27,2.85,3.26,"9'1.5""","6'11.5""",35,29.7,4.9-12.3,.399,1.3-3.9,.333,5.6-7.1,.790,6.3,2.3,0.6,1.0,2.3,2.0,16.7,35,36.0,5.9-14.9,.399,1.6-4.8,.333,6.8-8.6,.790,7.7,2.8,0.8,1.2,2.7,2.4,20.2,.534,.452,.322,.578,.357,29.0,0.51,1.04,20.4,.108,.073,.177,117.5,103.1,5.1,3.3,8.4
Labaron Philon Jr.,Alabama,SO,PG,"6'3.75""",176lbs,,,20.57yrs,,,"Mobile, AL",Link Academy,ESPN100 #32,,,"35.0""",11.55,3.13,3.09,"8'3.5""","6'6.25""",33,30.9,7.4-14.7,.501,2.5-6.2,.399,4.8-6.0,.798,3.5,5.0,0.2,1.2,2.5,1.6,22.0,33,36.0,8.6-17.1,.501,2.9-7.2,.399,5.6-7.0,.798,4.1,5.8,0.2,1.3,3.0,1.8,25.6,.626,.585,.419,.408,.381,30.0,1.06,1.96,25.9,.169,.031,.196,127.3,115.1,9.2,2.1,11.3
Yaxel Lendeborg,Michigan,SR,PF,"6'10""",241lbs,,,23.72yrs,,,"Pennsauken, NJ",Pennsauken HS,,,,"32.0""",10.82,2.8,3.35,"9'0.5""","7'3.25""",40,30.2,5.0-9.7,.515,1.7-4.5,.372,3.4-4.1,.824,6.8,3.2,1.2,1.1,1.1,1.7,15.1,40,36.0,6.0-11.6,.515,2.0-5.4,.372,4.1-4.9,.824,8.1,3.9,1.5,1.3,1.3,2.0,18.0,.646,.602,.464,.425,.370,20.4,0.88,3.07,25.4,.166,.096,.262,141.5,96.6,9.8,6.9,16.7
Cameron Carr,Baylor,SO,SG,"6'5.75""",184lbs,,,21.58yrs,,,"Eden Prairie, MN",Link Academy,ESPN100 #91,,,"42.5""",10.46,2.8,3.17,"8'8""","7'0.75""",34,33.7,6.4-12.9,.494,2.3-6.1,.374,3.9-4.9,.801,5.8,2.6,1.3,0.9,2.4,1.9,18.9,34,36.0,6.8-13.7,.494,2.4-6.5,.374,4.2-5.2,.801,6.2,2.8,1.4,0.9,2.5,2.0,20.2,.622,.582,.471,.380,.374,25.3,0.58,1.11,22.0,.115,.049,.164,122.9,110.0,6.9,2.3,9.2
Morez Johnson Jr.,Michigan,SO,PF/C,"6'10.25""",251lbs,,,20.40yrs,,,"Riverdale, IL",Thornton Township HS,ESPN100 #29,,,"39.0""",10.59,2.91,3.17,"8'11""","7'3.5""",40,25.1,4.9-7.8,.623,0.3-0.9,.343,3.1-3.9,.782,7.3,1.2,1.1,0.7,1.3,2.4,13.1,40,36.0,7.0-11.2,.623,0.4-1.3,.343,4.4-5.6,.782,10.5,1.7,1.6,1.0,1.9,3.4,18.8,.677,.642,.112,.498,.337,21.3,0.39,0.91,25.2,.147,.096,.243,135.4,96.1,6.4,5.4,11.8
